sku,name,customerReviewAverage,customerReviewCount,customerTopRated,manufacturer,class,condition
6515452,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage - Gold",4.1,44.0,False,Apple,APPLE LAPTOP,Refurbished
6515453,"Apple - Refurbished MacBook Pro - 15"" Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 555X - 256GB SSD - Silver",3.8,31.0,False,Apple,APPLE LAPTOP,Refurbished
6515454,"Apple - Geek Squad Certified Refurbished MacBook Pro-15"" with Touch Bar-Intel Core i7-16GB Memory-AMD Radeon Pro 560X 1TB SSD - Space Gray",,,,Apple,APPLE LAPTOP,Refurbished
6515456,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD - Silver",4.2,59.0,False,Apple,APPLE LAPTOP,Refurbished
6515457,"Apple - Refurbished MacBook Pro - 15"" Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 555X - 256GB SSD - Space Gray",3.8,31.0,False,Apple,APPLE LAPTOP,Refurbished
6515458,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 512GB SSD - Silver",4.0,31.0,False,Apple,APPLE LAPTOP,Refurbished
6515459,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M1 chip - 8GB Memory - 512GB SSD - Silver",4.0,78.0,False,Apple,APPLE LAPTOP,Refurbished
6515460,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 128GB Flash Storage - Space Gray",4.3,99.0,False,Apple,APPLE LAPTOP,Refurbished
6515461,"Geek Squad Certified Refurbished MacBook Pro 14"" Laptop - Apple M1 Pro chip - 16GB Memory - 1TB SSD - Silver",3.5,46.0,False,Apple,APPLE LAPTOP,Refurbished
6515462,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage - Space Gray",4.1,44.0,False,Apple,APPLE LAPTOP,Refurbished
6515463,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 128GB Flash Storage - Silver",4.3,99.0,False,Apple,APPLE LAPTOP,Refurbished
6515466,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Retina Display - Intel Core i5 - 8GB Memory - 256GB Flash Storage - Silver",4.1,44.0,False,Apple,APPLE LAPTOP,Refurbished
6517827,"Apple - MacBook Pro 16"" Certified Refurbished - M1 Pro chip - 10 CPU/16 GPU with 16GB Memory - 512GB SSD (2021) - Silver",4.2,5.0,False,Apple,SO LAPTOPS,Refurbished
6520616,"Acer - Swift 3 -14"" OLED WQXGA Laptop- -12th Gen Intel Core i7 12700H-Iris Xe Graphics-16GB LPDDR5-1TB Gen 4 SSD - Gray",4.7,3.0,False,Acer,SO LAPTOPS,New
6527463,Thomson - NEOZ3 Laptop - Qualcomm Snapdragon - 4GB Memory - 64GB SDD - Silver,3.0,2.0,False,Thomson,SO LAPTOPS,New
6530194,"Apple - Geek Squad Certified Refurbished MacBook Air - 13.3"" Display - Intel Core i5 - 8GB Memory - 128GB Flash Storage - Silver",3.8,139.0,False,Apple,APPLE LAPTOP,Refurbished
6530197,"Apple - Geek Squad Certified Refurbished MacBook Pro - 13"" Display - Intel Core i5 - 8 GB Memory - 128GB Flash Storage - Space Gray",3.5,73.0,False,Apple,APPLE LAPTOP,Refurbished
