itemNumber,class,name,customerReviewAverage,customerReviewCount,customerTopRated,modelNumber,salePrice,manufacturer,isRefurbished
9SIC21HKKB5357,desktop,AODU Gaming Desktop PC-Windows11-Intel i7 14700F 2.1 GHz (5.3GHz Turbo)-GeForce RTX 5060 Ti 16G OC -DDR5 32GB 6000MHz RMA-1TB M.2 NVMe SSD-800W PSU-panoramic PC case WiFi6 RGB White Prebuilt Gaming PC,0.0,0,False,6976592030533,1499.0,AODU,False
9SIABFSK9Z9103,desktop,"CLX Gaming Desktop - Intel Core i9 14900KF 3.2GHz 24-Core Processor, 32GB DDR5 Memory, GeForce RTX 4070 SUPER 12GB GDDR6X Graphics 1TB NVMe M.2 SSD, 4TB HDD, WiFi, Win 11 Home 64-bit",0.0,0,False,TGMSETRTU4208BM,1999.99,CLX,False
9SIBM02KKE7704,desktop,Dell OptiPlex 9010 SSF Core i5 Desktop Computer 32GB Ram 512GB SSD Wi-Fi Windows 11 Pro,0.0,0,False,00764046446047,299.0,DELL,True
9SIA6ABJHJ5455,desktop,Lenovo ThinkCentre M720s SFF Desktop - 8th Gen Intel Hexa-Core (6 Cores) i7-8700 up to 4.60 GHz 32 GB DDR4 256 GB SSD DVD-R WiFi/BT Windows 11 Pro,0.0,0,False,Lenovo.M720s.i7_9,474.95,Lenovo,True
83-420-001,desktop,STORMCRAFT Gaming PC SIRIUS Intel Core i5-14400F Intel Arc B580 12GB OC ASROCK – AI Powered 16GB DDR5 RGB 6000MHz 1TB NVMe SSD 650W PSU Windows 11 Home - SI1440FBB-B58N1,4.8,71,True,SI1440FBB-B58N1,884.99,STORMCRAFT,False
9SIBM02KFJ5540,desktop,Dell Optiplex 760 SFF 500GB Windows XP Pro SP3 32Bit Desktop Computer PC 4GB RAM,0.0,0,False,00764046445620,249.0,DELL,True
9SIAHZNKHP0574,desktop,"HP EliteDesk 800 G4 SFF RGB Desktop Computer, GT 730 2GB, Intel Six Core i5-8500 up to 4.1GHz, 16GB DDR4 RAM, 512GB SSD, WiFi, BT, Windows 11 Pro",0.0,0,False,H800G4SI516G512GG730,355.56,HP,True
9SIAKDCHZZ7067,desktop,DELL Desktop Computer 7050-T Intel Core i7-6700 16GB DDR4 512GB SSD Windows 10 Pro 64-bit,0.0,0,False,NE1-21827,212.78,DELL,True
9SIAK3PKF35352,desktop,ADAMANT CUSTOM 16-Core Liquid Cooled Media Workstation Desktop Computer PC AMD Ryzen 9 9950X3D 4.3GHz X870 AORUS 64GB DDR5 RAM 2TB NVMe GEN4 SSD 750W WiFi7 Bluetooth HDMI USB4 Integrated Graphics,0.0,0,False,B3877,2599.99,Adamant Custom,False
9SIAK3JKBU8833,desktop,Dell Optiplex 5050 SFF Desktop Computer PC - Intel Core I7-6700 Up to 4.00 GHz | 16GB DDR4 RAM | 512GB SSD | GeForce GT 1030 2GB GPU(HDMI) | Windows 10 Pro | Wireless Keyboard and Mouse,4.0,1,False,D5050SI7616G512SGT103010P -E,309.99,DELL,False
9SIBM02KGP7374,desktop,Dell OptiPlex 7050 SFF Core i7 Desktop Computer 16GB RAM 512GB SSD Wi-Fi Windows 11,0.0,0,False,00764046445408,379.0,DELL,True
1VK-0017-00V84,desktop,"Acer Nitro 50 Gaming Desktop PC, Intel Core i5-13400F, GeForce RTX 3060 Graphics, 16GB DDR4 3200MHZ Memory, 512GB M.2 2280 PCIe Gen 4 SSD, 1TB 7200RPM HDD, DTS: X Ultra, Windows 11 Home, N50-650-UR13",0.0,0,False,DG.E3HAA.003,999.0,Acer America,False
9SIC1A0KH88197,desktop,"Prebuilt Gaming PC Desktop Computer,Intel Core i7 Desktop,Operating at A Frequency of 3.4-3.9 GHz,RX590 Graphics Card with 8GB GDDR5 Video Memory,16GB RAM, 1TB NVME SSD,WiFi 5.0,RGB Fan x4",0.0,0,False,AOV590,409.99,abytespark,False
9SIACAGK0P4940,desktop,DELL Desktop PC 7070 Intel Core i7-9700T 16GB 512GB SSD Windows 11 Pro 64-bit,0.0,0,False,J1-7070MA08,360.0,DELL,True
9SIAKWUHNX5179,desktop,DELL Business Desktop OptiPlex 7070-SFF Intel Core i7-8700 16GB DDR4 500 GB M.2 NVMe SSD Windows 11 Pro 64-bit,5.0,2,False,NE1-22227,384.99,DELL,True
9SIAKDCKGP9276,desktop,DELL Desktop OptiPlex 7040 SFF Intel Core i7 6th Gen 6700 (3.40GHz) 16GB DDR4 RAM 1TB SSD DVD Intel HD Graphics 530 Windows 10 Pro Grade A,4.7,51,True,Dell 3040,209.44,DELL,True
9SIAJZDKHK4573,desktop,"HP OmniDesk Desktop PC, Intel Core Ultra 5 225(Up to 4.9GHz), 32GB DDR5 5600MHz 1TB PCIe 4.0 SSD, Intel Graphics, Wifi 6, Bluetooth 5.4, Microsoft Copilot, Windows 11 Home, Dark Wood",0.0,0,False,004049-198990143675-32-1024-H,941.99,HP,False
9SIA0ZXK6W7445,desktop,MSI Gaming Desktop Aegis RS2 C14NUE7-818US Intel Core i7-14700KF 32GB DDR5 2TB PCIe SSD GeForce RTX 4070 SUPER Windows 11 Home 64-bit,4.5,79,False,Aegis RS2 C14NUE7-818US,1839.84,MSI,False
9SIBYWEKDT5196,desktop,Dell Precision T3610 Workstation E5-1620 v2 3.7GHz 4-Cores 64GB DDR3 Quadro K600,5.0,2,False,DSB T361000105,155.27,DELL,True
